"","Species","Length"
"280","Pseudamia amblyuroptera",8.5
"281","Pseudamia gelatinosa",11
"282","Pseudamia hayashii",10
"283","Pseudamia nigra",6
"284","Pseudamia rubra",5.5
"285","Pseudamia tarri",3.7
"286","Pseudamia zonata",21
"287","Pseudamiops diaphanes",3.28
"288","Pseudamiops gracilicauda",5
"289","Pseudamiops pellucidus",4
"290","Pseudamiops phasma",3.4
"291","Pseudamiops springeri",2.685
"292","Pterapogon kauderni",NA
"293","Quinca mirifica",NA
"294","Rhabdamia clupeiformis",NA
"295","Rhabdamia gracilis",7.4
"296","Rhabdamia mentalis",5.04
"297","Rhabdamia nigrimentum",5.5
"298","Rhabdamia nuda",NA
"299","Rhabdamia spilota",6
"300","Siphamia arabica",3.39
"301","Siphamia argentea",5
"302","Siphamia brevilux",NA
"303","Siphamia cephalotes",5
"304","Siphamia corallicola",3.05
"305","Siphamia cuneiceps",NA
"306","Siphamia cyanophthalma",NA
"307","Siphamia elongata",4.5
"308","Siphamia fistulosa",4
"309","Siphamia fraseri",NA
"310","Siphamia fuscolineata",4
"311","Siphamia goreni",1.64
"312","Siphamia guttulata",NA
"313","Siphamia jebbi",2.48
"314","Siphamia majimai",3.5
"315","Siphamia mossambica",4
"316","Siphamia papuensis",NA
"317","Siphamia randalli",2.87
"318","Siphamia roseigaster",6.4
"319","Siphamia senoui",NA
"320","Siphamia spinicola",4
"321","Siphamia stenotes",NA
"322","Siphamia tubifer",7
"323","Siphamia tubulata",NA
"324","Sphaeramia nematoptera",8.5
"325","Sphaeramia orbicularis",10
"326","Taeniamia ataenia",4.83
"327","Taeniamia biguttata",11
"328","Taeniamia bilineata",3.75
"329","Taeniamia buruensis",7.5
"330","Taeniamia flavofasciata",7.85
"331","Taeniamia fucata",10
"332","Taeniamia kagoshimanus",NA
"333","Taeniamia leai",9
"334","Taeniamia lineolata",10.3
"335","Taeniamia macroptera",9.5
"336","Taeniamia melasma",8.6
"337","Taeniamia mozambiquensis",8.9
"338","Taeniamia pallida",4
"339","Taeniamia zosterophora",8
"340","Verulux cypselurus",6
"341","Vincentia badia",10
"342","Vincentia conspersa",14
"343","Vincentia macrocauda",10
"344","Vincentia novaehollandiae",NA
"345","Vincentia punctata",15
"346","Yarica hyalosoma",17
"347","Zapogon evermanni",15
"348","Zapogon isus",5.6
"349","Zoramia flebila",4.36
"350","Zoramia fragilis",5.5
"351","Zoramia gilberti",5.5
"352","Zoramia leptacantha",6
"353","Zoramia perlita",5
"354","Zoramia viridiventer",4.23
